block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-04-16,erc1155,18,1364,1118,2482,-246,706912,0.00351105,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-17,erc1155,18,19658,3238,22896,-16420,706912,0.03238876,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-18,erc1155,18,6364,2482,8846,-3882,706912,0.01251358,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-19,erc1155,18,1965,674,2639,-1291,706912,0.00373314,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-20,erc1155,18,3570,1942,5512,-1628,706912,0.00779729,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-21,erc1155,18,10440,2567,13007,-7873,706912,0.01839974,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-22,erc1155,18,1221,799,2020,-422,706912,0.00285750,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-23,erc1155,18,2937,2784,5721,-153,706912,0.00809295,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-04-24,erc1155,18,2553,444,2997,-2109,706912,0.00423957,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-02,erc1155,18,2842,4356,7198,1514,706912,0.01018231,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-03,erc1155,18,5328,2469,7797,-2859,706912,0.01102966,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-04,erc1155,18,7537,9150,16687,1613,706912,0.02360548,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-05,erc1155,18,21689,1803,23492,-19886,706912,0.03323186,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-06,erc1155,18,2867,661,3528,-2206,706912,0.00499072,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-07,erc1155,18,1895,1810,3705,-85,706912,0.00524110,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-08,erc1155,18,687,841,1528,154,706912,0.00216151,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-09,erc1155,18,3292,895,4187,-2397,706912,0.00592294,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-10,erc1155,18,1272,756,2028,-516,706912,0.00286882,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-11,erc1155,18,921,778,1699,-143,706912,0.00240341,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-12,erc1155,18,808,129,937,-679,706912,0.00132548,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-13,erc1155,18,486,727,1213,241,706912,0.00171591,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-14,erc1155,18,1988,197,2185,-1791,706912,0.00309091,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-15,erc1155,18,2645,13881,16526,11236,706912,0.02337773,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-16,erc1155,18,2220,3440,5660,1220,706912,0.00800665,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-17,erc1155,18,1852,4775,6627,2923,706912,0.00937458,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-18,erc1155,18,1186,4928,6114,3742,706912,0.00864888,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-19,erc1155,18,1237,6136,7373,4899,706912,0.01042987,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-22,erc1155,18,26212,10616,36828,-15596,706912,0.05209701,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-23,erc1155,18,1398,1030,2428,-368,706912,0.00343466,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-24,erc1155,18,3322,2871,6193,-451,706912,0.00876064,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-25,erc1155,18,1068,4202,5270,3134,706912,0.00745496,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-26,erc1155,18,1185,3707,4892,2522,706912,0.00692024,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-27,erc1155,18,871,6726,7597,5855,706912,0.01074674,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-28,erc1155,18,1861,4192,6053,2331,706912,0.00856259,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-29,erc1155,18,464,1907,2371,1443,706912,0.00335402,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-30,erc1155,18,1474,3194,4668,1720,706912,0.00660337,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-05-31,erc1155,18,1722,2560,4282,838,706912,0.00605733,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-01,erc1155,18,1316,2984,4300,1668,706912,0.00608279,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-02,erc1155,18,2598,14664,17262,12066,706912,0.02441888,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-03,erc1155,18,867,7066,7933,6199,706912,0.01122205,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-04,erc1155,18,1169,17291,18460,16122,706912,0.02611358,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-05,erc1155,18,11936,3465,15401,-8471,706912,0.02178630,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-06,erc1155,18,1284,7145,8429,5861,706912,0.01192369,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-07,erc1155,18,1271,1376,2647,105,706912,0.00374445,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-08,erc1155,18,2213,2224,4437,11,706912,0.00627659,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-09,erc1155,18,3683,3666,7349,-17,706912,0.01039592,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-10,erc1155,18,3428,3444,6872,16,706912,0.00972115,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-11,erc1155,18,622,624,1246,2,706912,0.00176260,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-12,erc1155,18,1454,1478,2932,24,706912,0.00414762,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-13,erc1155,18,6157,4826,10983,-1331,706912,0.01553659,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-14,erc1155,18,394,2518,2912,2124,706912,0.00411932,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-15,erc1155,18,6204,11890,18094,5686,706912,0.02559583,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-16,erc1155,18,21628,20713,42341,-915,706912,0.05989572,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-17,erc1155,18,7455,5548,13003,-1907,706912,0.01839409,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-18,erc1155,18,6037,4002,10039,-2035,706912,0.01420120,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-19,erc1155,18,6609,12525,19134,5916,706912,0.02706702,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-20,erc1155,18,6701,7036,13737,335,706912,0.01943240,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-21,erc1155,18,4034,5954,9988,1920,706912,0.01412906,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-22,erc1155,18,4546,393,4939,-4153,706912,0.00698673,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-06-23,erc1155,18,2343,5007,7350,2664,706912,0.01039733,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
